Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1988,  93.732,  63.506,  29.529,  11.630,  -0.534,   6.169,   8.674,  56.058,  67.660, 116.517,  81.206, 132.393
1989,  71.736,  72.054,  41.837,  13.029,   2.284,  -0.759,   8.150,  42.537,  78.180,  80.877, 116.726, 118.903
1990,  42.864,  54.566,  35.779,  15.114,   0.860,   2.075,  19.341,  29.551,  62.097,  76.697,  90.289, 113.354
1991,  95.514,  44.122,  35.567,  10.039,   0.076,   6.040,  33.330,  47.812,  96.580,  70.700, 113.460, 102.218
1992,  76.593,  47.232,  46.976,  15.010,   1.732,   6.296,  18.447,  46.799,  62.237,  77.270,  82.809, 103.909
1993,  77.630,  59.753,  28.485,   7.465,  -2.012,  -4.108,  -2.515,  10.105,  64.376,  74.278,  76.318,  84.548
1994,  78.730,  26.139,  13.048,   3.276,  -2.837,  -4.969,  -6.194,   0.077,  17.588,  44.321,  82.779,  62.747
1995,  68.103,  63.848,  18.335,  17.385,  -1.390,  -3.236,  -0.018,  13.357,  67.861,  64.306, 125.545, 103.131
1996,  64.437,  33.444,  30.072,  10.824,   0.562,  -3.790,  -3.641,   1.946,  36.006,  51.509,  72.125,  53.302
1997,  67.867,  30.455,  30.675,  13.373,   0.929,  -4.152,   4.222,  28.212,  36.843,  73.315,  75.456,  66.786
1998,  59.474,  19.594,  31.274,   8.611,  -5.310,   3.049,  12.209,  25.460,  41.804,  51.126,  69.396,  83.877
1999, 103.172,  41.842,  38.476,   6.645,  -2.534,  -1.884,  -1.112,  29.991,  47.357,  71.164,  68.217, 107.712
2000,  84.337,  34.971,  21.482,  15.223,  -1.610,   0.128,  17.979,  27.980,  65.287,  45.456,  85.643, 134.060
2001,  55.637,  51.167,  34.953,   2.378,  -2.730,  -1.695,  13.232,  22.351,  55.648,  79.915,  45.895,  78.343
2002,  78.041,  55.260,  45.447,  18.074,  13.224,   0.264,  12.550,  33.554,  52.304,  99.647,  91.070, 131.378
2003,  75.555,  22.019,  12.412,   4.871,  -4.218,  -5.011,  -5.942,  -2.374,  29.592,  53.085,  60.460,  71.704
2004,  79.972,  24.344,  13.156,   3.154,  -2.840,  -4.057,  -2.663,  20.880,  27.646,  64.915,  68.623, 107.302
2005,  76.256,  28.783,  31.171,   8.802,   2.593,  -0.794,  36.969,  56.644,  74.223,  85.752, 103.761, 117.264
2006,  65.186,  63.226,  38.510,  10.250,   4.952,  12.872,  16.553,  68.083,  68.436, 102.746,  64.458,  89.548
2007,  98.295,  77.318,  37.201,  20.578,   0.156,   8.363,  28.380,  57.285,  60.130,  60.630, 117.967, 109.650
2008,  82.039,  53.938,  43.970,   7.973,   2.581,  -0.672,  11.796,  49.506,  53.451,  92.278,  87.307, 122.390
2009,  73.864,  30.178,  21.023,  11.631,   1.458,  -0.430,  15.604,  37.150,  53.867,  76.593,  46.138, 107.336
2010,  82.997,  41.544,  22.439,   7.403,   6.256,  14.343,  22.579,  48.347,  78.032,  80.666,  96.980, 132.610
2011,  86.477,  52.537,  38.468,  11.019,  -2.329,  -0.137,   7.607,  49.631,  66.314,  77.067,  79.108,  92.884
2012,  84.791,  44.694,  24.885,  25.215,  12.172,  21.061,  44.311,  63.087,  98.170,  91.848,  98.530,  92.380
2013, 104.078,  55.013,  42.752,  23.955,   2.800,   2.996,  30.771,  41.424,  71.901,  76.565, 124.675, 120.442
2014,  90.940,  35.004,  20.945,   3.477,  -3.754,  -4.986,  -1.821,  12.870,  44.236,  61.262, 107.263,  71.185
2015,  74.970,  41.350,  19.042,   2.143,  -4.241,  -4.632,  -1.460,  21.532,  37.996,  78.068,  60.582,  62.615
2016,  97.645,  52.937,  24.942,  26.089,   2.959,  17.206,  26.123,  40.727,  70.013,  77.364,  78.452, 147.347
2017,  83.068,  44.790,  53.652,   4.229,   5.853,   5.037,  16.138,  49.661,  48.686,  74.048, 114.476, 127.786
2018,  83.527,  39.677,  45.753,  31.479,  -2.232,   2.800,  23.070,  35.611,  67.712,  96.683, 107.257,  75.611
2019,  97.428,  37.767,  26.466,   8.813,  -1.552,  -1.922,   7.012,  52.826,  38.628,  78.657, 107.727,  85.958
2020,  60.830,  58.318,  23.880,  22.922,   9.423,   6.699,  22.061,  53.305,  74.518,  88.910,  79.733, 101.648
2021,  76.271,  62.366,  36.171,  16.845,   8.408,   8.152,  24.043,  30.578,  80.244,  49.496, 107.042,  97.326
2022, 122.256,  59.129,  36.992,  12.801,  -1.854,   5.489,  20.983,  39.982,  67.683,  83.533,  90.711, 108.317
2023,  61.005,  53.346,  41.467,  11.242,   9.013,  15.894,  28.857,  60.956,  42.723,  75.151, 106.006,  61.326
2024,  90.655,  51.080,  36.358,  15.312,   8.771,  21.788,  24.834,  63.391,  53.613,  98.891,  83.500, 107.774
