YYYY-MM,	flow_cms,	fraction_gauged,	total_gauges
1913-02,	 173,	0.092,	 1.00
1913-03,	1029,	0.092,	 1.00
1913-04,	 530,	0.092,	 1.00
1913-05,	 286,	0.092,	 1.00
1913-06,	 109,	0.092,	 1.00
1913-07,	  36,	0.092,	 1.00
1913-08,	  24,	0.092,	 1.00
1913-09,	  20,	0.092,	 1.00
1913-10,	  35,	0.092,	 1.00
1913-11,	 115,	0.092,	 1.00
1913-12,	  59,	0.092,	 1.00
1914-01,	 141,	0.092,	 1.00
1914-02,	 305,	0.092,	 1.00
1914-03,	 648,	0.044,	 0.48
1914-04,	 893,	0.092,	 1.00
1914-05,	 674,	0.092,	 1.00
1914-06,	 101,	0.092,	 1.00
1914-07,	  41,	0.092,	 1.00
1914-08,	  67,	0.092,	 1.00
1914-09,	  79,	0.092,	 1.00
1914-10,	  39,	0.092,	 1.00
1914-11,	  50,	0.092,	 1.00
1914-12,	  78,	0.092,	 1.00
1915-01,	 322,	0.092,	 1.00
1915-02,	 801,	0.092,	 1.00
1915-03,	 252,	0.092,	 1.00
1915-04,	 256,	0.092,	 1.00
1915-05,	 117,	0.092,	 1.00
1915-06,	  49,	0.092,	 1.00
1915-07,	 258,	0.092,	 1.00
1915-08,	 177,	0.092,	 1.00
1915-09,	  59,	0.092,	 1.00
1915-10,	 223,	0.133,	 2.00
1915-11,	 178,	0.175,	 3.00
1915-12,	 226,	0.175,	 3.00
1916-01,	 607,	0.175,	 3.00
1916-02,	 503,	0.175,	 3.00
1916-03,	 699,	0.175,	 3.00
1916-04,	2232,	0.175,	 3.00
1916-05,	1049,	0.175,	 3.00
1916-06,	1180,	0.195,	 3.27
1916-07,	 391,	0.251,	 4.00
1916-08,	 134,	0.251,	 4.00
1916-09,	  97,	0.251,	 4.00
1916-10,	 123,	0.251,	 4.00
1916-11,	 177,	0.251,	 4.00
1916-12,	 252,	0.251,	 4.00
1917-01,	 255,	0.251,	 4.00
1917-02,	 231,	0.251,	 4.00
1917-03,	1215,	0.251,	 4.00
1917-04,	1481,	0.251,	 4.00
1917-05,	 564,	0.251,	 4.00
1917-06,	 683,	0.251,	 4.00
1917-07,	 343,	0.251,	 4.00
1917-08,	 161,	0.251,	 4.00
1917-09,	 170,	0.251,	 4.00
1917-10,	 549,	0.251,	 4.00
1917-11,	 470,	0.251,	 4.00
1917-12,	 259,	0.251,	 4.00
1918-01,	 136,	0.251,	 4.00
1918-02,	 692,	0.251,	 4.00
1918-03,	1516,	0.251,	 4.00
1918-04,	1534,	0.251,	 4.00
1918-05,	 619,	0.251,	 4.00
1918-06,	 378,	0.251,	 4.00
1918-07,	 202,	0.251,	 4.00
1918-08,	 132,	0.251,	 4.00
1918-09,	 227,	0.251,	 4.00
1918-10,	 440,	0.159,	 3.00
1918-11,	 612,	0.159,	 3.00
1918-12,	 659,	0.159,	 3.00
1919-01,	 453,	0.159,	 3.00
1919-02,	 224,	0.159,	 3.00
1919-03,	 910,	0.159,	 3.00
1919-04,	1143,	0.159,	 3.00
1919-05,	 956,	0.159,	 3.00
1919-06,	 425,	0.159,	 3.00
1919-07,	 167,	0.159,	 3.00
1919-08,	  94,	0.159,	 3.00
1919-09,	 118,	0.159,	 3.00
1919-10,	 194,	0.159,	 3.00
1919-11,	 303,	0.159,	 3.00
1919-12,	 278,	0.159,	 3.00
1920-01,	 146,	0.251,	 4.00
1920-02,	 147,	0.251,	 4.00
1920-03,	1488,	0.251,	 4.00
1920-04,	1079,	0.251,	 4.00
1920-05,	 526,	0.251,	 4.00
1920-06,	 193,	0.251,	 4.00
1920-07,	 339,	0.288,	 4.45
1920-08,	 224,	0.333,	 5.00
1920-09,	 204,	0.333,	 5.00
1920-10,	 270,	0.333,	 5.00
1920-11,	 527,	0.333,	 5.00
1920-12,	1212,	0.333,	 5.00
1921-01,	 607,	0.333,	 5.00
1921-02,	 488,	0.333,	 5.00
1921-03,	2290,	0.333,	 5.00
1921-04,	1159,	0.333,	 5.00
1921-05,	 485,	0.333,	 5.00
1921-06,	 254,	0.333,	 5.00
1921-07,	 273,	0.333,	 5.00
1921-08,	 180,	0.333,	 5.00
1921-09,	 163,	0.333,	 5.00
1921-10,	 270,	0.333,	 5.00
1921-11,	 762,	0.333,	 5.00
1921-12,	 618,	0.333,	 5.00
1922-01,	 339,	0.333,	 5.00
1922-02,	 565,	0.333,	 5.00
1922-03,	1533,	0.333,	 5.00
1922-04,	2420,	0.333,	 5.00
1922-05,	 665,	0.333,	 5.00
1922-06,	 787,	0.333,	 5.00
1922-07,	 543,	0.333,	 5.00
1922-08,	 313,	0.333,	 5.00
1922-09,	 214,	0.333,	 5.00
1922-10,	 204,	0.333,	 5.00
1922-11,	 235,	0.333,	 5.00
1922-12,	 225,	0.333,	 5.00
1923-01,	 355,	0.333,	 5.00
