YYYY-MM,	flow_cms,	fraction_gauged,	total_gauges
1913-02,	 462,	0.130,	 3.0
1913-03,	1137,	0.130,	 3.0
1913-04,	1308,	0.130,	 3.0
1913-05,	 824,	0.130,	 3.0
1913-06,	 608,	0.130,	 3.0
1913-07,	 673,	0.220,	 4.0
1913-08,	 559,	0.220,	 4.0
1913-09,	 579,	0.220,	 4.0
1913-10,	 773,	0.243,	 5.0
1913-11,	 770,	0.243,	 5.0
1913-12,	 634,	0.243,	 5.0
1914-01,	 548,	0.243,	 5.0
1914-02,	 511,	0.243,	 5.0
1914-03,	 633,	0.243,	 5.0
1914-04,	1134,	0.244,	 5.0
1914-05,	1292,	0.262,	 6.0
1914-06,	 806,	0.262,	 6.0
1914-07,	 941,	0.262,	 6.0
1914-08,	 768,	0.262,	 6.0
1914-09,	 721,	0.262,	 6.0
1914-10,	 663,	0.262,	 6.0
1914-11,	 618,	0.262,	 6.0
1914-12,	 544,	0.262,	 6.0
1915-01,	 473,	0.262,	 6.0
1915-02,	 687,	0.262,	 6.0
1915-03,	 788,	0.262,	 6.0
1915-04,	1233,	0.262,	 6.0
1915-05,	1117,	0.262,	 6.0
1915-06,	 879,	0.262,	 6.0
1915-07,	 730,	0.262,	 6.0
1915-08,	 554,	0.203,	 5.0
1915-09,	 561,	0.203,	 5.0
1915-10,	 621,	0.203,	 5.0
1915-11,	 763,	0.203,	 5.0
1915-12,	 562,	0.203,	 5.0
1916-01,	 724,	0.262,	 6.0
1916-02,	 584,	0.262,	 6.0
1916-03,	 781,	0.262,	 6.0
1916-04,	2322,	0.262,	 6.0
1916-05,	1556,	0.262,	 6.0
1916-06,	1533,	0.220,	 5.0
1916-07,	 605,	0.255,	 6.0
1916-08,	 428,	0.255,	 6.0
1916-09,	 571,	0.255,	 6.0
1916-10,	 673,	0.255,	 6.0
1916-11,	 850,	0.255,	 6.0
1916-12,	 521,	0.255,	 6.0
1917-01,	 337,	0.255,	 6.0
1917-02,	 314,	0.255,	 6.0
1917-03,	 842,	0.255,	 6.0
1917-04,	1299,	0.255,	 6.0
1917-05,	1156,	0.255,	 6.0
1917-06,	1283,	0.255,	 6.0
1917-07,	 638,	0.255,	 6.0
1917-08,	 468,	0.255,	 6.0
1917-09,	 432,	0.255,	 6.0
1917-10,	 516,	0.397,	 7.0
1917-11,	 556,	0.397,	 7.0
1917-12,	 445,	0.397,	 7.0
1918-01,	 441,	0.397,	 7.0
1918-02,	 497,	0.397,	 7.0
1918-03,	1440,	0.397,	 7.0
1918-04,	1085,	0.397,	 7.0
1918-05,	1385,	0.397,	 7.0
1918-06,	1132,	0.397,	 7.0
1918-07,	 502,	0.397,	 7.0
1918-08,	 442,	0.397,	 7.0
1918-09,	 437,	0.397,	 7.0
1918-10,	 450,	0.397,	 7.0
1918-11,	 675,	0.397,	 7.0
1918-12,	 653,	0.397,	 7.0
1919-01,	 574,	0.397,	 7.0
1919-02,	 533,	0.397,	 7.0
1919-03,	1025,	0.397,	 7.0
1919-04,	1598,	0.397,	 7.0
1919-05,	1117,	0.397,	 7.0
1919-06,	 726,	0.397,	 7.0
1919-07,	 518,	0.397,	 7.0
1919-08,	 421,	0.397,	 7.0
1919-09,	 387,	0.397,	 7.0
1919-10,	 488,	0.397,	 7.0
1919-11,	 871,	0.397,	 7.0
1919-12,	 554,	0.397,	 7.0
1920-01,	 432,	0.337,	 6.0
1920-02,	 410,	0.337,	 6.0
1920-03,	1120,	0.337,	 6.0
1920-04,	1481,	0.337,	 6.0
1920-05,	 780,	0.337,	 6.0
1920-06,	 634,	0.337,	 6.0
1920-07,	 544,	0.337,	 6.0
1920-08,	 347,	0.337,	 6.0
1920-09,	 311,	0.337,	 6.0
1920-10,	 289,	0.337,	 6.0
1920-11,	 390,	0.337,	 6.0
1920-12,	 434,	0.337,	 6.0
1921-01,	 435,	0.337,	 6.0
1921-02,	 410,	0.337,	 6.0
1921-03,	 732,	0.337,	 6.0
1921-04,	1374,	0.337,	 6.0
1921-05,	1008,	0.337,	 6.0
1921-06,	 490,	0.337,	 6.0
1921-07,	 285,	0.337,	 6.0
1921-08,	 240,	0.337,	 6.0
1921-09,	 292,	0.337,	 6.0
1921-10,	 277,	0.337,	 6.0
1921-11,	 326,	0.337,	 6.0
1921-12,	 374,	0.337,	 6.0
1922-01,	 325,	0.337,	 6.0
1922-02,	 379,	0.337,	 6.0
1922-03,	 941,	0.337,	 6.0
1922-04,	2174,	0.337,	 6.0
1922-05,	1208,	0.337,	 6.0
1922-06,	 748,	0.337,	 6.0
1922-07,	 588,	0.337,	 6.0
1922-08,	 371,	0.337,	 6.0
1922-09,	 417,	0.337,	 6.0
1922-10,	 325,	0.337,	 6.0
1922-11,	 373,	0.337,	 6.0
1922-12,	 339,	0.337,	 6.0
1923-01,	 372,	0.337,	 6.0
1923-02,	 381,	0.337,	 6.0
1923-03,	 619,	0.337,	 6.0
1923-04,	1457,	0.337,	 6.0
1923-05,	 924,	0.337,	 6.0
1923-06,	 658,	0.337,	 6.0
1923-07,	 410,	0.337,	 6.0
1923-08,	 235,	0.337,	 6.0
1923-09,	 275,	0.337,	 6.0
1923-10,	 272,	0.337,	 6.0
1923-11,	 281,	0.337,	 6.0
1923-12,	 315,	0.337,	 6.0
1924-01,	 308,	0.337,	 6.0
1924-02,	 340,	0.337,	 6.0
1924-03,	 501,	0.337,	 6.0
1924-04,	1260,	0.337,	 6.0
1924-05,	1471,	0.337,	 6.0
1924-06,	 585,	0.337,	 6.0
1924-07,	 444,	0.337,	 6.0
1924-08,	1209,	0.337,	 6.0
1924-09,	 505,	0.336,	 6.0
1924-10,	 395,	0.300,	 5.0
1924-11,	 373,	0.300,	 5.0
1924-12,	 341,	0.300,	 5.0
1925-01,	 338,	0.300,	 5.0
1925-02,	 382,	0.300,	 5.0
1925-03,	 413,	0.300,	 5.0
1925-04,	 422,	0.300,	 5.0
1925-05,	 321,	0.300,	 5.0
1925-06,	 433,	0.300,	 5.0
1925-07,	 366,	0.300,	 5.0
1925-08,	 264,	0.300,	 5.0
1925-09,	 238,	0.300,	 5.0
1925-10,	 334,	0.300,	 5.0
1925-11,	 321,	0.300,	 5.0
1925-12,	 325,	0.300,	 5.0
1926-01,	 290,	0.300,	 5.0
1926-02,	 298,	0.300,	 5.0
1926-03,	 382,	0.300,	 5.0
1926-04,	 730,	0.300,	 5.0
1926-05,	 768,	0.300,	 5.0
1926-06,	 670,	0.300,	 5.0
1926-07,	 394,	0.300,	 5.0
1926-08,	 394,	0.300,	 5.0
1926-09,	 526,	0.300,	 5.0
1926-10,	 621,	0.300,	 5.0
1926-11,	 567,	0.300,	 5.0
1926-12,	 479,	0.300,	 5.0
1927-01,	 475,	0.300,	 5.0
1927-02,	 469,	0.300,	 5.0
1927-03,	 865,	0.300,	 5.0
1927-04,	 856,	0.300,	 5.0
1927-05,	 821,	0.300,	 5.0
1927-06,	 589,	0.300,	 5.0
1927-07,	 492,	0.300,	 5.0
1927-08,	 315,	0.300,	 5.0
1927-09,	 250,	0.300,	 5.0
1927-10,	 460,	0.300,	 5.0
1927-11,	 472,	0.300,	 5.0
1927-12,	 434,	0.300,	 5.0
1928-01,	 399,	0.300,	 5.0
1928-02,	 438,	0.300,	 5.0
1928-03,	 761,	0.300,	 5.0
1928-04,	1457,	0.300,	 5.0
1928-05,	 906,	0.300,	 5.0
1928-06,	 518,	0.300,	 5.0
1928-07,	 442,	0.300,	 5.0
1928-08,	 398,	0.300,	 5.0
1928-09,	 738,	0.300,	 5.0
1928-10,	 850,	0.300,	 5.0
1928-11,	 700,	0.300,	 5.0
1928-12,	 580,	0.300,	 5.0
1929-01,	 502,	0.300,	 5.0
1929-02,	 554,	0.300,	 5.0
1929-03,	1142,	0.300,	 5.0
1929-04,	1978,	0.345,	 6.0
1929-05,	1132,	0.345,	 6.0
1929-06,	 600,	0.345,	 6.0
1929-07,	 576,	0.345,	 6.0
1929-08,	 401,	0.345,	 6.0
1929-09,	 347,	0.345,	 6.0
1929-10,	 349,	0.345,	 6.0
1929-11,	 433,	0.345,	 6.0
1929-12,	 415,	0.345,	 6.0
1930-01,	 505,	0.345,	 6.0
1930-02,	 560,	0.345,	 6.0
1930-03,	 608,	0.345,	 6.0
1930-04,	 712,	0.345,	 6.0
1930-05,	 681,	0.345,	 6.0
1930-06,	 529,	0.345,	 6.0
1930-07,	 336,	0.345,	 6.0
1930-08,	 188,	0.345,	 6.0
1930-09,	 174,	0.345,	 6.0
1930-10,	 339,	0.632,	 9.0
1930-11,	 401,	0.659,	 9.6
1930-12,	 505,	0.676,	10.0
1931-01,	 458,	0.676,	10.0
1931-02,	 488,	0.676,	10.0
1931-03,	 541,	0.676,	10.0
1931-04,	 636,	0.676,	10.0
1931-05,	 563,	0.676,	10.0
1931-06,	 532,	0.676,	10.0
1931-07,	 298,	0.632,	 9.0
1931-08,	 237,	0.632,	 9.0
1931-09,	 317,	0.632,	 9.0
1931-10,	 399,	0.632,	 9.0
1931-11,	 680,	0.632,	 9.0
1931-12,	 679,	0.632,	 9.0
1932-01,	 944,	0.632,	 9.0
1932-02,	 955,	0.632,	 9.0
1932-03,	 824,	0.632,	 9.0
1932-04,	1070,	0.632,	 9.0
1932-05,	 957,	0.632,	 9.0
1932-06,	 594,	0.632,	 9.0
1932-07,	 395,	0.632,	 9.0
1932-08,	 321,	0.632,	 9.0
1932-09,	 370,	0.632,	 9.0
1932-10,	 371,	0.632,	 9.0
1932-11,	 568,	0.632,	 9.0
1932-12,	 678,	0.632,	 9.0
1933-01,	 713,	0.632,	 9.0
1933-02,	 665,	0.632,	 9.0
1933-03,	 873,	0.632,	 9.0
1933-04,	1657,	0.632,	 9.0
1933-05,	1569,	0.632,	 9.0
1933-06,	 696,	0.632,	 9.0
1933-07,	 423,	0.632,	 9.0
1933-08,	 296,	0.632,	 9.0
1933-09,	 297,	0.632,	 9.0
1933-10,	 444,	0.632,	 9.0
1933-11,	 491,	0.632,	 9.0
1933-12,	 538,	0.632,	 9.0
1934-01,	 599,	0.651,	 9.4
1934-02,	 562,	0.676,	10.0
1934-03,	 660,	0.676,	10.0
1934-04,	1394,	0.676,	10.0
1934-05,	 786,	0.676,	10.0
1934-06,	 424,	0.676,	10.0
1934-07,	 347,	0.676,	10.0
1934-08,	 294,	0.676,	10.0
1934-09,	 427,	0.676,	10.0
1934-10,	 484,	0.676,	10.0
1934-11,	 739,	0.676,	10.0
1934-12,	 757,	0.676,	10.0
1935-01,	 699,	0.676,	10.0
1935-02,	 740,	0.676,	10.0
1935-03,	1680,	0.676,	10.0
1935-04,	1298,	0.676,	10.0
1935-05,	1043,	0.676,	10.0
1935-06,	 914,	0.676,	10.0
1935-07,	 664,	0.676,	10.0
1935-08,	 599,	0.676,	10.0
1935-09,	 514,	0.676,	10.0
1935-10,	 513,	0.676,	10.0
1935-11,	 671,	0.676,	10.0
1935-12,	 609,	0.676,	10.0
1936-01,	 593,	0.676,	10.0
1936-02,	 601,	0.676,	10.0
1936-03,	1373,	0.676,	10.0
1936-04,	1172,	0.676,	10.0
1936-05,	1115,	0.676,	10.0
1936-06,	 557,	0.676,	10.0
1936-07,	 331,	0.676,	10.0
1936-08,	 323,	0.676,	10.0
1936-09,	 486,	0.675,	10.0
1936-10,	 549,	0.631,	 9.0
1936-11,	 579,	0.631,	 9.0
1936-12,	 535,	0.631,	 9.0
1937-01,	 872,	0.631,	 9.0
1937-02,	 891,	0.631,	 9.0
1937-03,	 899,	0.631,	 9.0
1937-04,	1555,	0.631,	 9.0
1937-05,	1354,	0.631,	 9.0
1937-06,	 862,	0.631,	 9.0
1937-07,	 666,	0.631,	 9.0
1937-08,	 430,	0.631,	 9.0
1937-09,	 389,	0.631,	 9.0
1937-10,	 514,	0.676,	10.0
1937-11,	 595,	0.676,	10.0
1937-12,	 574,	0.676,	10.0
1938-01,	 631,	0.676,	10.0
1938-02,	1765,	0.676,	10.0
1938-03,	1686,	0.683,	10.2
1938-04,	1911,	0.709,	12.0
1938-05,	1308,	0.709,	12.0
1938-06,	1100,	0.709,	12.0
1938-07,	 852,	0.709,	12.0
1938-08,	 755,	0.709,	12.0
1938-09,	1101,	0.709,	12.0
1938-10,	 865,	0.709,	12.0
1938-11,	 768,	0.709,	12.0
1938-12,	 702,	0.709,	12.0
1939-01,	 878,	0.709,	12.0
1939-02,	1179,	0.709,	12.0
1939-03,	1360,	0.709,	12.0
1939-04,	2215,	0.709,	12.0
1939-05,	1253,	0.709,	12.0
1939-06,	1177,	0.709,	12.0
1939-07,	 695,	0.709,	12.0
1939-08,	 662,	0.753,	13.0
1939-09,	 570,	0.753,	13.0
1939-10,	 575,	0.753,	13.0
1939-11,	 623,	0.753,	13.0
1939-12,	 622,	0.753,	13.0
1940-01,	 593,	0.753,	13.0
1940-02,	 590,	0.753,	13.0
1940-03,	 768,	0.753,	13.0
1940-04,	1263,	0.753,	13.0
1940-05,	1291,	0.753,	13.0
1940-06,	1252,	0.753,	13.0
1940-07,	 817,	0.753,	13.0
1940-08,	 740,	0.753,	13.0
1940-09,	 789,	0.753,	13.0
1940-10,	 628,	0.753,	13.0
1940-11,	 852,	0.753,	13.0
1940-12,	1002,	0.753,	13.0
1941-01,	1105,	0.753,	13.0
1941-02,	 862,	0.753,	13.0
1941-03,	 981,	0.753,	13.0
1941-04,	1592,	0.753,	13.0
1941-05,	 885,	0.753,	13.0
1941-06,	 709,	0.753,	13.0
1941-07,	 490,	0.753,	13.0
1941-08,	 405,	0.753,	13.0
1941-09,	 748,	0.753,	13.0
1941-10,	1142,	0.753,	13.0
1941-11,	1446,	0.753,	13.0
1941-12,	 989,	0.753,	13.0
1942-01,	 913,	0.753,	13.0
1942-02,	 933,	0.753,	13.0
1942-03,	1808,	0.753,	13.0
1942-04,	1626,	0.753,	13.0
1942-05,	1325,	0.753,	13.0
1942-06,	1472,	0.753,	14.0
1942-07,	 805,	0.753,	14.0
1942-08,	 782,	0.753,	14.0
1942-09,	 827,	0.753,	14.0
1942-10,	 934,	0.753,	14.0
1942-11,	1149,	0.753,	14.0
1942-12,	1014,	0.753,	14.0
1943-01,	1208,	0.753,	14.0
1943-02,	1451,	0.753,	14.0
1943-03,	1817,	0.753,	14.0
1943-04,	1967,	0.753,	14.0
1943-05,	2048,	0.753,	14.0
1943-06,	2281,	0.753,	14.0
1943-07,	1117,	0.753,	14.0
1943-08,	 766,	0.753,	14.0
1943-09,	 745,	0.753,	14.0
1943-10,	 661,	0.778,	15.0
1943-11,	 894,	0.778,	15.0
1943-12,	 678,	0.778,	15.0
1944-01,	 624,	0.778,	15.0
1944-02,	 821,	0.778,	15.0
1944-03,	1375,	0.778,	15.0
1944-04,	1533,	0.778,	15.0
1944-05,	1386,	0.778,	15.0
1944-06,	1112,	0.778,	15.0
1944-07,	 599,	0.778,	15.0
1944-08,	 460,	0.778,	15.0
1944-09,	 502,	0.778,	15.0
1944-10,	 547,	0.778,	15.0
1944-11,	 609,	0.778,	15.0
1944-12,	 597,	0.778,	15.0
1945-01,	 548,	0.778,	15.0
1945-02,	 674,	0.778,	15.0
1945-03,	1239,	0.778,	15.0
1945-04,	1388,	0.778,	15.0
1945-05,	1526,	0.778,	15.0
1945-06,	1574,	0.778,	15.0
1945-07,	 692,	0.778,	15.0
1945-08,	 563,	0.778,	15.0
1945-09,	 674,	0.778,	15.0
1945-10,	 942,	0.778,	17.0
1945-11,	1086,	0.778,	17.0
1945-12,	 840,	0.778,	17.0
1946-01,	1331,	0.778,	17.0
1946-02,	 949,	0.778,	17.0
1946-03,	2262,	0.778,	17.0
1946-04,	1096,	0.778,	17.0
1946-05,	 796,	0.778,	17.0
1946-06,	 989,	0.778,	17.0
1946-07,	 685,	0.778,	17.0
1946-08,	 490,	0.778,	17.0
1946-09,	 477,	0.778,	17.0
1946-10,	 476,	0.778,	17.0
1946-11,	 686,	0.778,	17.0
1946-12,	 667,	0.778,	17.0
1947-01,	 732,	0.778,	17.0
1947-02,	 760,	0.778,	17.0
1947-03,	1030,	0.778,	17.0
1947-04,	2771,	0.778,	17.0
1947-05,	1937,	0.778,	17.0
1947-06,	1544,	0.778,	17.0
1947-07,	 758,	0.778,	17.0
1947-08,	 547,	0.778,	17.0
1947-09,	 685,	0.778,	17.0
1947-10,	 564,	0.778,	17.0
1947-11,	 712,	0.778,	17.0
1947-12,	 826,	0.778,	17.0
1948-01,	 691,	0.778,	17.0
1948-02,	 829,	0.778,	17.0
1948-03,	2045,	0.778,	17.0
1948-04,	1648,	0.778,	17.0
1948-05,	1588,	0.778,	17.0
1948-06,	 683,	0.778,	17.0
1948-07,	 576,	0.778,	17.0
1948-08,	 473,	0.778,	17.0
1948-09,	 417,	0.778,	17.0
1948-10,	 419,	0.778,	17.0
1948-11,	 653,	0.778,	17.0
1948-12,	 656,	0.778,	17.0
1949-01,	 865,	0.778,	17.0
1949-02,	1215,	0.778,	17.0
1949-03,	1073,	0.778,	17.0
1949-04,	1262,	0.778,	17.0
1949-05,	 854,	0.778,	17.0
1949-06,	 742,	0.778,	17.0
1949-07,	 758,	0.778,	17.0
1949-08,	 526,	0.778,	17.0
1949-09,	 513,	0.778,	17.0
1949-10,	 573,	0.778,	17.0
1949-11,	 598,	0.778,	17.0
1949-12,	 912,	0.778,	17.0
1950-01,	1355,	0.778,	17.0
1950-02,	1102,	0.778,	17.0
1950-03,	1746,	0.778,	17.0
1950-04,	2798,	0.778,	17.0
1950-05,	1785,	0.778,	17.0
1950-06,	1097,	0.778,	17.0
1950-07,	 838,	0.778,	17.0
1950-08,	 648,	0.778,	17.0
1950-09,	 690,	0.778,	17.0
1950-10,	 640,	0.836,	19.0
1950-11,	 723,	0.836,	19.0
1950-12,	 974,	0.836,	19.0
1951-01,	1108,	0.836,	19.0
1951-02,	1207,	0.836,	19.0
1951-03,	1570,	0.836,	19.0
1951-04,	2983,	0.836,	19.0
