Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1989,  32.887,  42.098,  18.523,   6.907,   5.987,  22.644,  61.319, 107.172, 167.681, 170.577, 178.811,  90.479
1990,  11.591,  20.444,  18.401,  10.808,  24.844,  28.476,  66.346,  95.042, 177.617, 190.816, 136.920, 102.727
1991,  57.231,  26.173,  19.270,   9.972,  14.963,  53.439, 101.164, 110.871, 217.450, 161.521, 155.300,  96.043
1992,  43.622,  20.222,  30.218,  10.263,  28.967,  45.577,  65.839, 115.347, 154.257, 189.776, 125.042, 100.355
1993,  44.195,  42.634,  19.033,   0.605,  11.515,  21.981,  66.252,  94.282, 209.527, 190.902, 124.792,  96.050
1994,  48.673,  23.726,  10.958,  -1.417,  -1.332,   7.710,  43.450, 102.129, 142.963, 162.595, 163.281,  79.880
1995,  67.546,  45.440,   7.788,   9.291,   5.758,  14.748,  57.146, 105.793, 189.808, 193.601, 178.955,  94.736
1996,  40.894,  18.395,  22.844,  -0.425,  -3.083,  -3.161,  42.348,  68.751, 139.602, 177.931, 160.044,  72.420
1997,  56.829,  14.258,  17.150,  10.247,  19.548,   6.581,  69.263, 106.115, 142.834, 187.465, 137.231,  81.889
1998,  32.363,  18.195,  32.567,  19.067,  16.310,  41.797,  91.637, 101.413, 152.703, 203.603, 150.687, 115.696
1999,  51.618,  19.820,  26.771,   6.902,  21.310,  36.201,  62.210, 142.741, 157.047, 191.777, 137.170, 109.835
2000,  52.937,  16.230,   7.712,  13.087,  17.758,  29.625,  74.152, 101.117, 181.242, 137.574, 172.085, 107.189
2001,  21.590,  25.126,  15.959,  -1.958,   5.095,  12.527,  77.918,  99.661, 175.977, 195.409,  94.075, 121.512
2002,  43.943,  53.362,  39.650,  15.740,  31.868,  16.287,  65.175, 112.254, 136.206, 217.039, 153.456,  85.176
2003,  57.782,  21.681,   9.287,   0.751,  -4.217,   7.680,  47.611,  89.981, 160.145, 171.732, 124.405,  99.575
2004,  61.953,  15.527,   7.404,   0.473,   2.591,  38.498,  61.042,  99.694, 129.999, 172.421, 140.806, 120.408
2005,  39.933,  14.351,  14.030,   5.543,  22.920,  28.077,  89.625, 127.844, 158.022, 195.612, 166.265,  95.407
2006,  24.164,  40.504,  23.750,  16.134,  31.348,  50.561,  73.367, 144.629, 164.533, 193.973,  83.424,  90.040
2007,  63.451,  38.635,   9.862,   5.513,  10.300,  51.582,  88.799, 109.109, 139.113, 165.809, 173.841,  94.637
2008,  54.971,  29.055,  13.882,   3.539,  28.587,  31.963,  75.762, 128.716, 131.139, 217.589, 139.071,  93.578
2009,  42.849,  13.360,   7.787,  -0.572,  11.073,  28.297,  71.921, 109.324, 141.426, 173.186, 104.273, 125.206
2010,  45.010,  21.268,   5.819,  10.745,  22.176,  51.559,  87.051, 123.539, 186.602, 192.721, 132.721, 114.029
2011,  39.218,  19.793,  10.261,  -2.203,  -2.458,  29.696,  59.336, 131.963, 138.446, 187.361, 132.925,  89.271
2012,  61.491,  30.721,  19.796,  46.583,  25.323,  70.040, 103.394, 144.588, 190.230, 190.009, 124.983,  77.925
2013,  56.570,  28.465,  20.825,  12.040,  31.161,  30.963,  90.947,  99.164, 153.943, 181.405, 183.920,  78.703
2014,  46.933,  21.540,  17.375,   0.124,  -4.624,   0.158,  66.113,  78.655, 122.780, 162.997, 174.121,  65.032
2015,  50.230,  24.131,  13.679,  -0.930,  -3.914,   8.422,  49.377, 102.848, 115.908, 196.269, 126.053,  72.149
2016,  78.033,  30.051,  12.729,  30.072,  24.126,  59.813,  74.972, 115.106, 158.705, 184.877, 147.993, 127.235
2017,  38.520,  26.465,  37.476,   5.416,  29.557,  52.246,  78.827, 131.513, 127.239, 188.560, 161.232, 113.955
2018,  31.520,   9.347,  17.192,   8.356,  -1.348,  29.671,  83.135, 100.493, 142.469, 219.121, 155.140,  61.572
2019,  61.417,  19.375,  14.082,   0.820,   1.157,  26.625,  69.282, 123.877, 117.073, 194.426, 164.547,  79.835
2020,  40.755,  40.428,  10.196,  34.345,  32.272,  42.675,  78.440, 127.289, 169.098, 176.463, 135.860, 107.877
2021,  43.834,  34.757,  15.125,  23.442,  37.950,  32.989,  83.579,  92.393, 179.475, 157.912, 190.706,  80.358
2022,  78.984,  26.240,  15.471,  11.037,   9.633,  53.541,  80.711, 112.371, 170.348, 190.918, 143.710,  99.512
2023,  24.634,  27.603,  28.691,  21.533,  37.105,  52.441,  75.911, 130.877, 125.849, 186.391, 167.039,  60.630
2024,  65.157,  28.733,  25.278,  22.841,  28.069,  59.837,  93.681, 137.088, 142.527, 198.705, 163.516, 108.266
