YYYY-MM,	flow_cms,	fraction_gauged,	total_gauges
1912-01,	   0.0,	0.000,	 0.00
1912-02,	   0.0,	0.000,	 0.00
1912-03,	   0.0,	0.000,	 0.00
1912-04,	   0.0,	0.000,	 0.00
1912-05,	   0.0,	0.000,	 0.00
1912-06,	   0.0,	0.000,	 0.00
1912-07,	   0.0,	0.000,	 0.00
1912-08,	   0.0,	0.000,	 0.00
1912-09,	   0.0,	0.000,	 0.00
1912-10,	   0.0,	0.000,	 0.00
1912-11,	   0.0,	0.000,	 0.00
1912-12,	   0.0,	0.000,	 0.00
1913-01,	   0.0,	0.000,	 0.00
1913-02,	   0.0,	0.000,	 0.00
1913-03,	   0.0,	0.000,	 0.00
1913-04,	   0.0,	0.000,	 0.00
1913-05,	   0.0,	0.000,	 0.00
1913-06,	   0.0,	0.000,	 0.00
1913-07,	  39.5,	0.111,	 1.00
1913-08,	  28.6,	0.111,	 1.00
1913-09,	  27.1,	0.111,	 1.00
1913-10,	  34.7,	0.111,	 1.00
1913-11,	 145.1,	0.111,	 1.00
1913-12,	  75.6,	0.111,	 1.00
1914-01,	 105.0,	0.149,	 2.00
1914-02,	 155.6,	0.149,	 2.00
1914-03,	 491.4,	0.149,	 2.00
1914-04,	 314.6,	0.149,	 2.00
1914-05,	 200.5,	0.149,	 2.00
1914-06,	  72.3,	0.149,	 2.00
1914-07,	  56.8,	0.149,	 2.00
1914-08,	  40.6,	0.149,	 2.00
1914-09,	  66.1,	0.149,	 2.00
1914-10,	  55.8,	0.149,	 2.00
1914-11,	  82.6,	0.149,	 2.00
1914-12,	  97.1,	0.149,	 2.00
1915-01,	  87.9,	0.149,	 2.00
1915-02,	 233.3,	0.149,	 2.00
1915-03,	 345.2,	0.149,	 2.00
1915-04,	 247.4,	0.149,	 2.00
1915-05,	  93.2,	0.149,	 2.00
1915-06,	  72.1,	0.149,	 2.00
1915-07,	  69.9,	0.149,	 2.00
1915-08,	 240.0,	0.149,	 2.00
1915-09,	 236.7,	0.149,	 2.00
1915-10,	 499.2,	0.426,	 3.00
