Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1988, 102.330,  65.145,  22.214,   9.651,  -1.697,   1.308,   2.425,  31.781,  47.070, 105.118,  64.783, 120.050
1989,  60.497,  69.445,  35.336,   6.842,  -0.285,  -5.519,  -1.579,  11.618,  59.836,  70.888, 104.740, 114.488
1990,  28.110,  46.943,  32.196,  14.380,  -1.040,  -6.641,  -0.065,  12.526,  52.153,  72.637,  76.576, 116.656
1991,  87.012,  36.620,  20.875,   4.463,  -4.821,  -3.975,  12.330,  25.397,  84.017,  62.490, 111.736,  99.012
1992,  62.617,  32.434,  38.321,  16.903,   2.694,   8.665,   8.197,  32.316,  44.217,  71.759,  79.075, 101.274
1993,  64.153,  58.092,  28.034,  11.005,  -2.413,  -5.001,  -2.802,  10.799,  72.431,  78.828,  82.942,  96.799
1994,  84.131,  45.148,  17.185,   4.764,  -2.257,  -5.537,  -5.736,  10.426,  24.109,  60.347,  79.865,  68.781
1995,  81.116,  60.056,  20.462,  19.365,  -1.385,  -4.454,  -0.326,   5.464,  75.126,  61.015, 125.059, 112.119
1996,  61.919,  38.659,  38.639,   8.336,  -2.039,  -7.282,  -5.862,  -3.104,  29.433,  57.338,  97.651,  65.859
1997,  62.730,  28.658,  22.956,  10.712,  -0.086,  -5.602,  -5.358,   5.397,  28.854,  67.526,  75.799,  66.393
1998,  43.767,  11.121,  37.381,   7.425,  -2.583,   1.783,  16.554,  21.099,  48.546,  64.158,  85.253, 103.850
1999,  94.343,  36.963,  38.613,   6.485,  -0.064,   4.215,   3.112,  39.828,  64.170,  75.803,  67.935, 104.850
2000,  94.300,  30.100,  21.426,  18.411,  -0.412,   2.412,  16.846,  22.700,  67.687,  50.760,  93.864, 120.481
2001,  45.480,  43.906,  26.056,   3.051,  -2.692,  -4.850,   6.515,  16.384,  54.044,  74.216,  40.409,  84.857
2002,  76.938,  55.497,  56.079,  17.072,   8.155,  -2.770,   8.310,  29.732,  49.326, 102.822,  95.823,  91.361
2003,  96.456,  49.759,  22.955,   5.923,  -2.710,  -4.034,   0.037,  16.885,  71.102,  66.008,  78.008,  83.102
2004,  97.932,  28.725,  13.476,   9.022,  -1.717,   1.087,  10.030,  43.476,  35.859,  65.442,  71.162, 115.417
2005,  79.752,  29.142,  36.651,   9.952,   9.628,   9.515,  53.211,  63.494,  72.440,  81.641, 108.769, 113.356
2006,  61.394,  74.252,  33.978,  13.831,  19.614,  34.261,  37.973,  79.242,  80.265, 100.594,  62.252,  85.078
2007,  94.583,  81.607,  29.827,  24.218,  10.514,  31.489,  51.249,  64.361,  74.312,  69.046, 116.240, 103.162
2008,  96.775,  54.656,  36.491,  11.428,  14.075,  10.618,  32.412,  64.894,  61.570,  94.027,  89.580, 122.798
2009,  89.758,  35.586,  27.428,  15.844,   4.061,  11.364,  37.789,  53.925,  57.765,  81.278,  50.722, 112.075
2010,  92.904,  36.771,  19.821,  12.021,  17.461,  22.471,  30.499,  57.971,  87.153,  83.739,  93.788, 122.347
2011, 101.192,  49.842,  34.978,  12.037,   5.645,  10.903,  20.217,  66.748,  85.222,  74.956,  76.041,  83.159
2012,  85.076,  57.267,  22.594,  42.956,  22.273,  31.751,  48.571,  79.129, 103.264,  95.101,  84.132,  82.726
2013, 102.693,  64.696,  46.543,  22.609,   9.898,  12.573,  45.613,  40.456,  74.167,  81.373, 109.339, 116.634
2014,  96.457,  48.156,  30.673,   3.771,  -2.561,  -5.096,   8.867,  24.492,  61.072,  68.145, 103.531,  67.946
2015,  71.927,  62.368,  22.196,   4.348,  -2.641,  -1.161,  17.103,  52.246,  49.293,  80.615,  68.861,  65.943
2016,  97.007,  56.986,  21.431,  24.946,  14.146,  23.756,  34.108,  49.938,  69.035,  67.089,  69.733, 133.088
2017,  81.332,  55.743,  48.481,  11.432,  23.188,  17.732,  29.245,  60.768,  52.281,  79.743, 100.646, 122.691
2018,  88.636,  39.950,  45.431,  36.461,  -0.795,   8.044,  37.870,  48.369,  71.593,  93.163, 104.936,  71.830
2019, 103.231,  40.695,  30.375,  11.332,  -0.259,   5.839,  25.832,  62.486,  37.090,  89.195,  97.868,  76.734
2020,  72.559,  59.010,  21.777,  20.314,  18.466,  14.965,  33.743,  61.770,  78.571,  98.660,  76.026,  93.392
2021,  79.867,  64.433,  27.592,  19.731,  23.871,  16.472,  35.010,  39.795,  83.513,  60.799, 110.422,  93.060
2022, 127.310,  62.891,  34.481,  15.989,   0.285,  14.100,  34.478,  46.565,  75.834,  85.461,  86.819, 113.101
2023,  62.662,  56.224,  38.917,  17.997,  18.139,  28.959,  36.509,  65.103,  45.420,  83.967,  94.211,  61.098
2024,  91.634,  56.877,  48.976,  25.258,  16.549,  28.597,  37.543,  61.986,  63.699,  97.749,  80.182, 105.979
