YYYY-MM,	flow_cms,	fraction_gauged,	total_gauges
1913-01,	 334,	0.153,	 2.0
1913-02,	 184,	0.153,	 2.0
1913-03,	1231,	0.345,	 2.6
1913-04,	1110,	0.362,	 2.7
1913-05,	 152,	0.153,	 2.0
1913-06,	 113,	0.153,	 2.0
1913-07,	  92,	0.153,	 2.0
1913-08,	  88,	0.153,	 2.0
1913-09,	  87,	0.153,	 2.0
1913-10,	 102,	0.153,	 2.0
1913-11,	 189,	0.153,	 2.0
1913-12,	 140,	0.153,	 2.0
1914-01,	 141,	0.153,	 2.0
1914-02,	 144,	0.153,	 2.0
1914-03,	 401,	0.181,	 2.4
1914-04,	 266,	0.190,	 2.5
1914-05,	 169,	0.233,	 3.0
1914-06,	 107,	0.233,	 3.0
1914-07,	  86,	0.233,	 3.0
1914-08,	  87,	0.233,	 3.0
1914-09,	  79,	0.229,	 3.0
1914-10,	  30,	0.130,	 2.0
1914-11,	  82,	0.130,	 2.0
1914-12,	  87,	0.130,	 2.0
1915-01,	 115,	0.130,	 2.0
1915-02,	 292,	0.130,	 2.0
1915-03,	 208,	0.130,	 2.0
1915-04,	 188,	0.130,	 2.0
1915-05,	  53,	0.130,	 2.0
1915-06,	  36,	0.130,	 2.0
1915-07,	  30,	0.130,	 2.0
1915-08,	  75,	0.130,	 2.0
1915-09,	 118,	0.130,	 2.0
1915-10,	 109,	0.130,	 2.0
1915-11,	 121,	0.130,	 2.0
1915-12,	 174,	0.130,	 2.0
1916-01,	 439,	0.130,	 2.0
1916-02,	 299,	0.130,	 2.0
1916-03,	 658,	0.181,	 2.2
1916-04,	1196,	0.255,	 2.4
1916-05,	 204,	0.130,	 2.0
1916-06,	 142,	0.130,	 2.0
1916-07,	  41,	0.130,	 2.0
1916-08,	  26,	0.130,	 2.0
1916-09,	  24,	0.130,	 2.0
1916-10,	  35,	0.130,	 2.0
1916-11,	  56,	0.130,	 2.0
1916-12,	 118,	0.130,	 2.0
1917-01,	  89,	0.130,	 2.0
1917-02,	  63,	0.130,	 2.0
1917-03,	 464,	0.130,	 2.0
1917-04,	 362,	0.130,	 2.0
1917-05,	 179,	0.130,	 2.0
1917-06,	 205,	0.130,	 2.0
1917-07,	 339,	0.130,	 2.0
1917-08,	  55,	0.130,	 2.0
1917-09,	  33,	0.130,	 2.0
1917-10,	  43,	0.079,	 1.0
1917-11,	  42,	0.079,	 1.0
1917-12,	  49,	0.079,	 1.0
1918-01,	  23,	0.079,	 1.0
1918-02,	  56,	0.079,	 1.0
1918-03,	1252,	0.271,	 1.6
1918-04,	 232,	0.090,	 1.0
1918-05,	  75,	0.079,	 1.0
1918-06,	  41,	0.079,	 1.0
1918-07,	  24,	0.079,	 1.0
1918-08,	  19,	0.079,	 1.0
1918-09,	  36,	0.079,	 1.0
1918-10,	  36,	0.079,	 1.0
1918-11,	  81,	0.079,	 1.0
1918-12,	 133,	0.079,	 1.0
1919-01,	 160,	0.079,	 1.0
1919-02,	  67,	0.079,	 1.0
1919-03,	 951,	0.241,	 1.5
1919-04,	 183,	0.100,	 1.1
1919-05,	 117,	0.079,	 1.0
1919-06,	  34,	0.079,	 1.0
1919-07,	  21,	0.079,	 1.0
1919-08,	  17,	0.079,	 1.0
1919-09,	  18,	0.079,	 1.0
1919-10,	  36,	0.079,	 1.0
1919-11,	  79,	0.079,	 1.0
1919-12,	  75,	0.079,	 1.0
1920-01,	  34,	0.079,	 1.0
1920-02,	  29,	0.079,	 1.0
1920-03,	 399,	0.079,	 1.0
1920-04,	 182,	0.079,	 1.0
1920-05,	  66,	0.079,	 1.0
1920-06,	  39,	0.079,	 1.0
1920-07,	  46,	0.079,	 1.0
1920-08,	  28,	0.079,	 1.0
1920-09,	  22,	0.079,	 1.0
1920-10,	  39,	0.079,	 1.0
1920-11,	  99,	0.079,	 1.0
1920-12,	 143,	0.079,	 1.0
1921-01,	 156,	0.079,	 1.0
1921-02,	  66,	0.079,	 1.0
1921-03,	 334,	0.079,	 1.0
1921-04,	 136,	0.079,	 1.0
1921-05,	  77,	0.079,	 1.0
1921-06,	  61,	0.079,	 1.0
1921-07,	  35,	0.079,	 1.0
1921-08,	  26,	0.079,	 1.0
1921-09,	  21,	0.079,	 1.0
1921-10,	  35,	0.079,	 1.0
1921-11,	  43,	0.079,	 1.0
1921-12,	  82,	0.079,	 1.0
1922-01,	  60,	0.079,	 1.0
1922-02,	  57,	0.079,	 1.0
1922-03,	 306,	0.079,	 1.0
1922-04,	 262,	0.079,	 1.0
1922-05,	  58,	0.079,	 1.0
1922-06,	  43,	0.079,	 1.0
1922-07,	  43,	0.079,	 1.0
1922-08,	  25,	0.079,	 1.0
1922-09,	  23,	0.079,	 1.0
1922-10,	  22,	0.079,	 1.0
1922-11,	  27,	0.079,	 1.0
1922-12,	  32,	0.079,	 1.0
1923-01,	  27,	0.079,	 1.0
1923-02,	  21,	0.079,	 1.0
1923-03,	 169,	0.079,	 1.0
1923-04,	 338,	0.079,	 1.0
1923-05,	 182,	0.079,	 1.0
1923-06,	  55,	0.079,	 1.0
1923-07,	  26,	0.079,	 1.0
1923-08,	  19,	0.079,	 1.0
1923-09,	  23,	0.079,	 1.0
1923-10,	  19,	0.079,	 1.0
1923-11,	  28,	0.079,	 1.0
1923-12,	  63,	0.079,	 1.0
1924-01,	  78,	0.079,	 1.0
1924-02,	  56,	0.079,	 1.0
1924-03,	 182,	0.079,	 1.0
