Date,Observed,Inflow_cms,Outflow_cms,Precip_mm,Evap_mm,Runoff_cms,P_minus_E_m,Seconds,Runoff_h,s_t,WO_opt,Controlled,Release_m
2013-04-01,74.72,5460,6342.97302768257,93.5,25.017,2269.0,0.068483,2592000,0.31019240506329115,0.37867540506329117,75.0,74.22142561985208,0.0
2013-05-01,74.88,5570,6654.45831029198,83.81,26.128,833.0,0.057682000000000004,2678400,0.11767443037974684,0.17535643037974685,75.15,74.47939078821953,0.0
2013-06-01,75.1,5630,6059.80458894674,148.56,20.622,1525.0,0.127938,2592000,0.20848101265822785,0.3364190126582278,75.16,74.50155032312006,0.0
2013-07-01,75.14,5910,7249.11203163722,109.61,57.419,954.0,0.052191,2678400,0.13476759493670887,0.18695859493670886,75.13,74.77921124007418,0.0
2013-08-01,74.99,5850,7560.59731424663,80.55,61.985,475.0,0.018564999999999998,2678400,0.0671012658227848,0.0856662658227848,75.01,74.77699907206062,0.0
2013-09-01,74.79,5590,7475.64678262588,86.53,88.388,421.0,-0.0018580000000000042,2592000,0.057554430379746835,0.05569643037974683,74.82,74.62101640083286,0.0
2013-10-01,74.64,5720,7022.57728064856,119.54,78.424,703.0,0.041116,2678400,0.09930987341772152,0.1404258734177215,74.65,74.418928207765,0.0
2013-11-01,74.6,5750,6937.62674902781,81.37,112.12,1447.0,-0.03075,2592000,0.19781772151898736,0.16706772151898736,74.56,74.37534442989111,0.0
2013-12-01,74.53,5660,7305.74571938439,88.21,109.371,1661.0,-0.021161000000000003,2678400,0.2346425316455696,0.2134815316455696,74.57,74.38005305154302,0.0
2014-01-01,74.64,5300,6201.38880831465,71.82,111.595,1641.0,-0.039775000000000005,2678400,0.23181721518987342,0.1920422151898734,74.72,74.36104696004517,0.0
2014-02-01,74.61,5280,6796.0425296599,76.33,51.034,932.0,0.025296,2419200,0.11891848101265823,0.1442144810126582,74.82,74.42575374357945,0.0
2014-03-01,74.55,5360,6994.26043677498,63.03,42.692,1282.0,0.020338000000000002,2678400,0.1811027848101266,0.2014407848101266,74.84,74.3765288739722,0.0
2014-04-01,74.83,5780,6597.82462254482,104.86,5.987,3944.0,0.098873,2592000,0.539179746835443,0.638052746835443,75.0,74.34710451353665,0.0
2014-05-01,75.14,6190,7135.84465614289,106.69,-2.912,2011.0,0.109602,2678400,0.28408556962025316,0.3936875696202532,75.15,74.87335338792293,0.0
2014-06-01,75.17,6090,8211.88472333904,120.38,-3.014,1059.0,0.12339399999999999,2592000,0.14477468354430378,0.2681686835443038,75.16,75.13342543396655,0.0
2014-07-01,75.09,6130,8381.78578658054,125.25,34.457,650.0,0.09079300000000001,2678400,0.09182278481012658,0.18261578481012658,75.13,75.1115136743202,0.0
2014-08-01,74.96,6040,8240.20156721262,91.33,52.597,780.0,0.038733,2678400,0.11018734177215189,0.14892034177215188,75.01,74.97602908725388,0.0
2014-09-01,74.78,6000,8155.25103559187,71.01,69.774,415.0,0.0012360000000000042,2592000,0.05673417721518988,0.05797017721518988,74.82,74.81413614434132,0.0
2014-10-01,74.59,6040,7673.86468974097,85.05,71.86,633.0,0.013189999999999997,2678400,0.08942126582278481,0.1026112658227848,74.65,74.57746440783004,0.0
2014-11-01,74.46,6130,7390.69625100514,66.25,110.011,928.0,-0.043760999999999994,2592000,0.12686582278481012,0.08310482278481013,74.56,74.44926643393751,0.0
2014-12-01,74.46,5970,6909.30990515423,49.86,76.432,1369.0,-0.026572000000000002,2678400,0.19339291139240505,0.16682091139240504,74.57,74.36002290848364,0.0
2015-01-01,74.56,5810,6399.60671542974,61.04,112.85,921.0,-0.051809999999999995,2678400,0.13010582278481012,0.07829582278481012,74.72,74.39415143327452,0.0
2015-02-01,74.5,5550,6739.40884191273,61.22,72.535,469.0,-0.011314999999999997,2419200,0.059842025316455695,0.048527025316455696,74.82,74.38915597828469,0.0
2015-03-01,74.41,5450,6597.82462254482,29.27,29.784,1073.0,-0.0005139999999999994,2678400,0.15157822784810127,0.15106422784810128,74.84,74.28592045769634,0.0
2015-04-01,74.62,5900,6342.97302768257,81.69,4.064,2569.0,0.077626,2592000,0.35120506329113926,0.4288310632911393,75.0,74.27483629582797,0.0
